ecrivain_1,ecrivain_2,requete_1,requete_2,count,base1,base2,ratio_1,ratio_2,ratio_moy
abel bonnard,abel hermant,abel%20bonnard,abel%20hermant,232,7883,14207,0.0294304198909045,0.0163299781797705,0.0228801990353375
abel bonnard,alain borne,abel%20bonnard,alain%20borne,0,7883,18,0,0,0
alain borne,abel hermant,alain%20borne,abel%20hermant,0,18,14207,0,0,0
abel bonnard,alain laubreaux,abel%20bonnard,alain%20laubreaux,4,7883,941,0.000507421032601801,0.00425079702444208,0.00237910902852194
abel hermant,alain laubreaux,abel%20hermant,alain%20laubreaux,1,14207,941,7.03878369817696e-05,0.00106269925611052,0.000566543546546145
alain borne,alain laubreaux,alain%20borne,alain%20laubreaux,0,18,941,0,0,0
albert beguin,abel bonnard,albert%20beguin,abel%20bonnard,0,265,7883,0,0,0
albert beguin,abel hermant,albert%20beguin,abel%20hermant,0,265,14207,0,0,0
albert beguin,alain borne,albert%20beguin,alain%20borne,0,265,18,0,0,0
albert beguin,alain laubreaux,albert%20beguin,alain%20laubreaux,0,265,941,0,0,0
abel bonnard,albert camus,abel%20bonnard,albert%20camus,0,7883,100,0,0,0
albert camus,abel hermant,albert%20camus,abel%20hermant,0,100,14207,0,0,0
alain borne,albert camus,alain%20borne,albert%20camus,0,18,100,0,0,0
albert camus,alain laubreaux,albert%20camus,alain%20laubreaux,0,100,941,0,0,0
albert beguin,albert camus,albert%20beguin,albert%20camus,0,265,100,0,0,0
alexandre arnoux,abel bonnard,alexandre%20arnoux,abel%20bonnard,32,5329,7883,0.00600487896415838,0.00405936826081441,0.00503212361248639
alexandre arnoux,abel hermant,alexandre%20arnoux,abel%20hermant,37,5329,14207,0.00694314130230813,0.00260434996832547,0.0047737456353168
alexandre arnoux,alain borne,alexandre%20arnoux,alain%20borne,0,5329,18,0,0,0
alexandre arnoux,alain laubreaux,alexandre%20arnoux,alain%20laubreaux,8,5329,941,0.00150121974103959,0.00850159404888417,0.00500140689496188
alexandre arnoux,albert beguin,alexandre%20arnoux,albert%20beguin,1,5329,265,0.000187652467629949,0.00377358490566038,0.00198061868664516
alexandre arnoux,albert camus,alexandre%20arnoux,albert%20camus,0,5329,100,0,0,0
andre billy,abel bonnard,andre%20billy,abel%20bonnard,55,10320,7883,0.00532945736434109,0.00697703919827477,0.00615324828130793
andre billy,abel hermant,andre%20billy,abel%20hermant,65,10320,14207,0.0062984496124031,0.00457520940381502,0.00543682950810906
andre billy,alain borne,andre%20billy,alain%20borne,0,10320,18,0,0,0
andre billy,alain laubreaux,andre%20billy,alain%20laubreaux,2,10320,941,0.000193798449612403,0.00212539851222104,0.00115959848091672
albert beguin,andre billy,albert%20beguin,andre%20billy,2,265,10320,0.00754716981132075,0.000193798449612403,0.00387048413046658
andre billy,albert camus,andre%20billy,albert%20camus,0,10320,100,0,0,0
alexandre arnoux,andre billy,alexandre%20arnoux,andre%20billy,90,5329,10320,0.0168887220866954,0.00872093023255814,0.0128048261596268
abel bonnard,andre chamson,abel%20bonnard,andre%20chamson,12,7883,2853,0.0015222630978054,0.00420609884332282,0.00286418097056411
andre chamson,abel hermant,andre%20chamson,abel%20hermant,18,2853,14207,0.00630914826498423,0.00126698106567185,0.00378806466532804
alain borne,andre chamson,alain%20borne,andre%20chamson,0,18,2853,0,0,0
andre chamson,alain laubreaux,andre%20chamson,alain%20laubreaux,0,2853,941,0,0,0
albert beguin,andre chamson,albert%20beguin,andre%20chamson,0,265,2853,0,0,0
albert camus,andre chamson,albert%20camus,andre%20chamson,0,100,2853,0,0,0
alexandre arnoux,andre chamson,alexandre%20arnoux,andre%20chamson,13,5329,2853,0.00243948207918934,0.00455660708026639,0.00349804457972786
andre billy,andre chamson,andre%20billy,andre%20chamson,9,10320,2853,0.000872093023255814,0.00315457413249211,0.00201333357787396
abel bonnard,andre chaumeix,abel%20bonnard,andre%20chaumeix,295,7883,7113,0.0374223011543829,0.0414733586391115,0.0394478298967472
andre chaumeix,abel hermant,andre%20chaumeix,abel%20hermant,256,7113,14207,0.0359904400393645,0.018019286267333,0.0270048631533488
alain borne,andre chaumeix,alain%20borne,andre%20chaumeix,0,18,7113,0,0,0
andre chaumeix,alain laubreaux,andre%20chaumeix,alain%20laubreaux,2,7113,941,0.000281175312807536,0.00212539851222104,0.00120328691251429
albert beguin,andre chaumeix,albert%20beguin,andre%20chaumeix,0,265,7113,0,0,0
albert camus,andre chaumeix,albert%20camus,andre%20chaumeix,0,100,7113,0,0,0
alexandre arnoux,andre chaumeix,alexandre%20arnoux,andre%20chaumeix,16,5329,7113,0.00300243948207919,0.00224940250246028,0.00262592099226974
andre billy,andre chaumeix,andre%20billy,andre%20chaumeix,22,10320,7113,0.00213178294573643,0.00309292844088289,0.00261235569330966
andre chamson,andre chaumeix,andre%20chamson,andre%20chaumeix,0,2853,7113,0,0,0
abel bonnard,andre chevrillon,abel%20bonnard,andre%20chevrillon,39,7883,2737,0.00494735506786756,0.0142491779320424,0.00959826649995497
andre chevrillon,abel hermant,andre%20chevrillon,abel%20hermant,84,2737,14207,0.030690537084399,0.00591257830646864,0.0183015576954338
alain borne,andre chevrillon,alain%20borne,andre%20chevrillon,0,18,2737,0,0,0
andre chevrillon,alain laubreaux,andre%20chevrillon,alain%20laubreaux,0,2737,941,0,0,0
albert beguin,andre chevrillon,albert%20beguin,andre%20chevrillon,0,265,2737,0,0,0
albert camus,andre chevrillon,albert%20camus,andre%20chevrillon,0,100,2737,0,0,0
alexandre arnoux,andre chevrillon,alexandre%20arnoux,andre%20chevrillon,3,5329,2737,0.000562957402889848,0.00109609061015711,0.000829524006523477
andre billy,andre chevrillon,andre%20billy,andre%20chevrillon,11,10320,2737,0.00106589147286822,0.00401899890390939,0.0025424451883888
andre chamson,andre chevrillon,andre%20chamson,andre%20chevrillon,0,2853,2737,0,0,0
andre chaumeix,andre chevrillon,andre%20chaumeix,andre%20chevrillon,56,7113,2737,0.00787290875861099,0.020460358056266,0.0141666334074385
abel bonnard,andre demaison,abel%20bonnard,andre%20demaison,19,7883,3284,0.00241024990485856,0.00578562728380024,0.0040979385943294
andre demaison,abel hermant,andre%20demaison,abel%20hermant,25,3284,14207,0.00761266747868453,0.00175969592454424,0.00468618170161438
alain borne,andre demaison,alain%20borne,andre%20demaison,0,18,3284,0,0,0
andre demaison,alain laubreaux,andre%20demaison,alain%20laubreaux,2,3284,941,0.000609013398294762,0.00212539851222104,0.0013672059552579
albert beguin,andre demaison,albert%20beguin,andre%20demaison,0,265,3284,0,0,0
albert camus,andre demaison,albert%20camus,andre%20demaison,0,100,3284,0,0,0
alexandre arnoux,andre demaison,alexandre%20arnoux,andre%20demaison,18,5329,3284,0.00337774441733909,0.00548112058465286,0.00442943250099598
andre billy,andre demaison,andre%20billy,andre%20demaison,27,10320,3284,0.00261627906976744,0.00822168087697929,0.00541897997337337
andre chamson,andre demaison,andre%20chamson,andre%20demaison,9,2853,3284,0.00315457413249211,0.00274056029232643,0.00294756721240927
andre chaumeix,andre demaison,andre%20chaumeix,andre%20demaison,3,7113,3284,0.000421762969211303,0.000913520097442144,0.000667641533326723
andre chevrillon,andre demaison,andre%20chevrillon,andre%20demaison,7,2737,3284,0.00255754475703325,0.00213154689403167,0.00234454582553246
